#
# LOKI File Name Characteristics
# This file contains regex definitions and a description
#
# APPLICATION ------------------------------------------------------------------
#
# Every line is treated as REGEX case sensitive.
# Every line includes a description that gives information about the file name
# based IOC
#
# FORMAT -----------------------------------------------------------------------
#
# # COMMENT
# REGEX;DESCRIPTION
#
# EXAMPLES ---------------------------------------------------------------------
#
# # Various examples from APT case X
# \\svcsstat\.exe;Case 1 - infector
# \\(server|servisces|smrr|srrm|svchost|svhost|svshost|taskmrg)\.exe$;Common IOC
# ProgramData\\Mail\\MailAg\\;Case 2
# (Anwendungsdaten|Application Data|APPDATA)\\sydmain\.dll;Malware X Case 3
# (TEMP|Temp)\\[^\\]+\.(xmd|yls)$;Case 2
# (LOCAL SETTINGS\\Temp|Local Settings\\Temp|Local\\Temp)\\(word\.exe|winword\.exe);Case 2
#

# Ncat Example
# bin\\nc\.exe;Ncat Demo

# Regin
\\usbclass\.sys;File name known from REGIN malware
\\adpu160\.sys;File name known from REGIN malware
\\msrdc64\.dat;File name known from REGIN malware
\\msdcsvc\.dat;File name known from REGIN malware
\\config\\SystemAudit\.Evt;File name known from REGIN malware
\\config\\SecurityAudit\.Evt;File name known from REGIN malware
\\config\\SystemLog\.evt;File name known from REGIN malware
\\config\\ApplicationLog\.evt;File name known from REGIN malware
\\ime\\imesc5\\dicts\\pintlgbs\.imd;File name known from REGIN malware
\\ime\\imesc5\\dicts\\pintlgbp\.imd;File name known from REGIN malware
ystem32\\winhttpc\.dll;File name known from REGIN malware
ystem32\\wshnetc\.dll;File name known from REGIN malware
\\SysWow64\\wshnetc\.dll;File name known from REGIN malware
ystem32\\svcstat\.exe;File name known from REGIN malware
ystem32\\svcsstat\.exe;File name known from REGIN malware
IME\\IMESC5\\DICTS\\PINTLGBP\.IMD;File name known from REGIN malware
ystem32\\wsharp\.dll;File name known from REGIN malware
ystem32\\wshnetc\.dll;File name known from REGIN malware
pchealth\\helpctr\\Database\\cdata\.dat;File name known from REGIN malware
pchealth\\helpctr\\Database\\cdata\.edb;File name known from REGIN malware
Windows\\Panther\\setup\.etl\.000;File name known from REGIN malware
ystem32\\wbem\\repository\\INDEX2\.DATA;File name known from REGIN malware
ystem32\\wbem\\repository\\OBJECTS2\.DATA;File name known from REGIN malware
ystem32\\dnscache\.dat;File name known from REGIN malware
ystem32\\mregnx\.dat;File name known from REGIN malware
ystem32\\displn32\.dat;File name known from REGIN malware
ystem32\\dmdskwk\.dat;File name known from REGIN malware
ystem32\\nvwrsnu\.dat;File name known from REGIN malware
ystem32\\tapiscfg\.dat;File name known from REGIN malware
ystem32\\pciclass\.sys;File name known from REGIN malware

# Five Eyes
\\20120\.dll;Five Eyes QUERTY Malware Name
\\20121\.dll;Five Eyes QUERTY Malware Name
\\20123\.sys;Five Eyes QUERTY Malware Name
