#
# LOKI File Name Characteristics
# This file contains regex definitions and a description
#
# APPLICATION ------------------------------------------------------------------
#
# Every line is treated as REGEX case sensitive.
# Every line includes a description that gives information about the file name
# based IOC
#
# FORMAT -----------------------------------------------------------------------
#
# # COMMENT
# REGEX;DESCRIPTION
#
# EXAMPLES ---------------------------------------------------------------------
#
# # Various examples from APT case X
# \\svcsstat\.exe;Case 1 - infector
# \\(server|servisces|smrr|srrm|svchost|svhost|svshost|taskmrg)\.exe$;Common IOC
# ProgramData\\Mail\\MailAg\\;Case 2
# (Anwendungsdaten|Application Data|APPDATA)\\sydmain\.dll;Malware X Case 3
# (TEMP|Temp)\\[^\\]+\.(xmd|yls)$;Case 2
# (LOCAL SETTINGS\\Temp|Local Settings\\Temp|Local\\Temp)\\(word\.exe|winword\.exe);Case 2
#

# Ncat Example
# bin\\nc\.exe;Ncat Demo

# Regin
\\usbclass\.sys;File name known from REGIN malware
\\adpu160\.sys;File name known from REGIN malware
\\msrdc64\.dat;File name known from REGIN malware
\\msdcsvc\.dat;File name known from REGIN malware
\\config\\SystemAudit\.Evt;File name known from REGIN malware
\\config\\SecurityAudit\.Evt;File name known from REGIN malware
\\config\\SystemLog\.evt;File name known from REGIN malware
\\config\\ApplicationLog\.evt;File name known from REGIN malware
\\ime\\imesc5\\dicts\\pintlgbs\.imd;File name known from REGIN malware
\\ime\\imesc5\\dicts\\pintlgbp\.imd;File name known from REGIN malware
ystem32\\winhttpc\.dll;File name known from REGIN malware
ystem32\\wshnetc\.dll;File name known from REGIN malware
\\SysWow64\\wshnetc\.dll;File name known from REGIN malware
ystem32\\svcstat\.exe;File name known from REGIN malware
ystem32\\svcsstat\.exe;File name known from REGIN malware
IME\\IMESC5\\DICTS\\PINTLGBP\.IMD;File name known from REGIN malware
ystem32\\wsharp\.dll;File name known from REGIN malware
ystem32\\wshnetc\.dll;File name known from REGIN malware
pchealth\\helpctr\\Database\\cdata\.dat;File name known from REGIN malware
pchealth\\helpctr\\Database\\cdata\.edb;File name known from REGIN malware
Windows\\Panther\\setup\.etl\.000;File name known from REGIN malware
ystem32\\wbem\\repository\\INDEX2\.DATA;File name known from REGIN malware
ystem32\\wbem\\repository\\OBJECTS2\.DATA;File name known from REGIN malware
ystem32\\dnscache\.dat;File name known from REGIN malware
ystem32\\mregnx\.dat;File name known from REGIN malware
ystem32\\displn32\.dat;File name known from REGIN malware
ystem32\\dmdskwk\.dat;File name known from REGIN malware
ystem32\\nvwrsnu\.dat;File name known from REGIN malware
ystem32\\tapiscfg\.dat;File name known from REGIN malware
ystem32\\pciclass\.sys;File name known from REGIN malware

# Five Eyes
\\20120\.dll;Five Eyes QUERTY Malware Name
\\20121\.dll;Five Eyes QUERTY Malware Name
\\20123\.sys;Five Eyes QUERTY Malware Name

# Skeleton Key File Names
\\msuta64\.dll;Skeleton Key Malware
\\ole64\.dll;Skeleton Key Malware (False positives are unknown)

# IXESHE APT Malware
\\winhlps\.exe;IXESHE APT Malware
\\acrotry\.exe;IXESHE APT Malware

# PlugX
(TEMP|TMP|Temp)\\DW20\.dll;PlugX
(TEMP|TMP|Temp)\\DW20\.dll;PlugX
(TEMP|TMP|Temp)\\dl_[0-9]{2}\.exe;PlugX
(TEMP|TMP|Temp)\\dl_[0-9]{2}\.txt;PlugX
(Mailing|Shipment).*Label\.exe;PlugX

# Mandiant APT
\\Temp\\~df~;Mandiant APT
\\Temp\\~hf~;Mandiant APT
\\Temp\\~[a-z][a-z]~;Mandiant APT
\\start menu\\programs\\startup\\adobe_sl.exe;Mandiant APT
Temp\\Updatasched\.exe;Mandiant APT
\\adobere\.exe;Mandiant APT

# Mandiant APT - SHELLDC.DLL (BACKDOOR)
\\Temp\\svchost\.exe;Mandiant APT - SHELLDC.DLL (BACKDOOR)
\\shelldc\.dll;Mandiant APT - SHELLDC.DLL (BACKDOOR)
\\recyle64\.dll;Mandiant APT - SHELLDC.DLL (BACKDOOR)
\\ws_18\.dll;Mandiant APT - SHELLDC.DLL (BACKDOOR)

# Mandiant APT - LIGHTDART (FAMILY)
\\ret\.log;LIGHTDART (FAMILY)
\\1\.rar;LIGHTDART (FAMILY)
\\qy\.htm;LIGHTDART (FAMILY)
\\shsat\.exe;LIGHTDART (FAMILY)
\\imxgy\.exe;LIGHTDART (FAMILY)

# Kaspersky Carbanak APT Malware Hash http://goo.gl/0Nhax2
(application data|AppData|Anwendungsdaten)\\mozilla\\[^\\]+\.bin;Kaspersky Carbanak APT
\\System32\\com\\svchost\.exe;Kaspersky Carbanak APT
\\ProgramData\\mozilla\\[^\\]+\.bin;Kaspersky Carbanak APT
\\(Windows|WinXP)\\paexec;Kaspersky Carbanak APT
SysWOW64\\com\\svchost\.exe;Kaspersky Carbanak APT

# Equation
ystem32\\ee\.dll;Equation Group Malware http://goo.gl/d5ujEH
# Equation Related File Name http://pastebin.com/QvZNtuQW
ystem32\\msregstr\.exe;Equation Related File Name http://pastebin.com/QvZNtuQW
ystem32\\khlp894u\.dll;Equation Related File Name http://pastebin.com/QvZNtuQW
\\__c__\.lnk;Equation Related File Name http://pastebin.com/QvZNtuQW
temp\\msupdate\.exe;Equation Related File Name http://pastebin.com/QvZNtuQW
\\fanny\.bmp;Equation Related File Name http://pastebin.com/QvZNtuQW
WINDOWS\\mlan\.exe;Equation Related File Name http://pastebin.com/QvZNtuQW
Windows\\mlan\.exe;Equation Related File Name http://pastebin.com/QvZNtuQW
